1.000000e+03 -1.009305e+01 
1.023293e+03 -9.898664e+00 
1.047129e+03 -9.704534e+00 
1.071519e+03 -9.510672e+00 
1.096478e+03 -9.317090e+00 
1.122018e+03 -9.123801e+00 
1.148154e+03 -8.930818e+00 
1.174898e+03 -8.738154e+00 
1.202264e+03 -8.545823e+00 
1.230269e+03 -8.353839e+00 
1.258925e+03 -8.162218e+00 
1.288250e+03 -7.970976e+00 
1.318257e+03 -7.780128e+00 
1.348963e+03 -7.589691e+00 
1.380384e+03 -7.399684e+00 
1.412538e+03 -7.210124e+00 
1.445440e+03 -7.021031e+00 
1.479108e+03 -6.832423e+00 
1.513561e+03 -6.644322e+00 
1.548817e+03 -6.456749e+00 
1.584893e+03 -6.269724e+00 
1.621810e+03 -6.083272e+00 
1.659587e+03 -5.897415e+00 
1.698244e+03 -5.712177e+00 
1.737801e+03 -5.527584e+00 
1.778279e+03 -5.343661e+00 
1.819701e+03 -5.160434e+00 
1.862087e+03 -4.977933e+00 
1.905461e+03 -4.796184e+00 
1.949845e+03 -4.615217e+00 
1.995262e+03 -4.435062e+00 
2.041738e+03 -4.255750e+00 
2.089296e+03 -4.077312e+00 
2.137962e+03 -3.899782e+00 
2.187762e+03 -3.723192e+00 
2.238721e+03 -3.547578e+00 
2.290868e+03 -3.372973e+00 
2.344229e+03 -3.199414e+00 
2.398833e+03 -3.026938e+00 
2.454709e+03 -2.855582e+00 
2.511886e+03 -2.685384e+00 
2.570396e+03 -2.516383e+00 
2.630268e+03 -2.348619e+00 
2.691535e+03 -2.182132e+00 
2.754229e+03 -2.016962e+00 
2.818383e+03 -1.853152e+00 
2.884032e+03 -1.690742e+00 
2.951209e+03 -1.529775e+00 
3.019952e+03 -1.370293e+00 
3.090295e+03 -1.212340e+00 
3.162278e+03 -1.055958e+00 
3.235937e+03 -9.011901e-01 
3.311311e+03 -7.480803e-01 
3.388442e+03 -5.966714e-01 
3.467369e+03 -4.470065e-01 
3.548134e+03 -2.991285e-01 
3.630781e+03 -1.530799e-01 
3.715352e+03 -8.902817e-03 
3.801894e+03 1.333611e-01 
3.890451e+03 2.736710e-01 
3.981072e+03 4.119865e-01 
4.073803e+03 5.482682e-01 
4.168694e+03 6.824778e-01 
4.265795e+03 8.145777e-01 
4.365158e+03 9.445318e-01 
4.466836e+03 1.072305e+00 
4.570882e+03 1.197864e+00 
4.677351e+03 1.321176e+00 
4.786301e+03 1.442211e+00 
4.897788e+03 1.560940e+00 
5.011872e+03 1.677336e+00 
5.128614e+03 1.791373e+00 
5.248075e+03 1.903028e+00 
5.370318e+03 2.012279e+00 
5.495409e+03 2.119106e+00 
5.623413e+03 2.223493e+00 
5.754399e+03 2.325422e+00 
5.888437e+03 2.424882e+00 
6.025596e+03 2.521860e+00 
6.165950e+03 2.616348e+00 
6.309573e+03 2.708337e+00 
6.456542e+03 2.797824e+00 
6.606934e+03 2.884805e+00 
6.760830e+03 2.969278e+00 
6.918310e+03 3.051245e+00 
7.079458e+03 3.130709e+00 
7.244360e+03 3.207674e+00 
7.413102e+03 3.282147e+00 
7.585776e+03 3.354135e+00 
7.762471e+03 3.423648e+00 
7.943282e+03 3.490697e+00 
8.128305e+03 3.555295e+00 
8.317638e+03 3.617455e+00 
8.511380e+03 3.677191e+00 
8.709636e+03 3.734520e+00 
8.912509e+03 3.789457e+00 
9.120108e+03 3.842021e+00 
9.332543e+03 3.892229e+00 
9.549926e+03 3.940100e+00 
9.772372e+03 3.985651e+00 
1.000000e+04 4.028903e+00 
1.023293e+04 4.069874e+00 
1.047129e+04 4.108583e+00 
1.071519e+04 4.145048e+00 
1.096478e+04 4.179289e+00 
1.122018e+04 4.211323e+00 
1.148154e+04 4.241168e+00 
1.174898e+04 4.268841e+00 
1.202264e+04 4.294358e+00 
1.230269e+04 4.317734e+00 
1.258925e+04 4.338984e+00 
1.288250e+04 4.358121e+00 
1.318257e+04 4.375158e+00 
1.348963e+04 4.390106e+00 
1.380384e+04 4.402974e+00 
1.412538e+04 4.413772e+00 
1.445440e+04 4.422507e+00 
1.479108e+04 4.429184e+00 
1.513561e+04 4.433810e+00 
1.548817e+04 4.436386e+00 
1.584893e+04 4.436915e+00 
1.621810e+04 4.435397e+00 
1.659587e+04 4.431832e+00 
1.698244e+04 4.426215e+00 
1.737801e+04 4.418545e+00 
1.778279e+04 4.408814e+00 
1.819701e+04 4.397017e+00 
1.862087e+04 4.383146e+00 
1.905461e+04 4.367190e+00 
1.949845e+04 4.349140e+00 
1.995262e+04 4.328984e+00 
2.041738e+04 4.306709e+00 
2.089296e+04 4.282300e+00 
2.137962e+04 4.255744e+00 
2.187762e+04 4.227024e+00 
2.238721e+04 4.196124e+00 
2.290868e+04 4.163026e+00 
2.344229e+04 4.127713e+00 
2.398833e+04 4.090166e+00 
2.454709e+04 4.050367e+00 
2.511886e+04 4.008296e+00 
2.570396e+04 3.963936e+00 
2.630268e+04 3.917267e+00 
2.691535e+04 3.868269e+00 
2.754229e+04 3.816926e+00 
2.818383e+04 3.763217e+00 
2.884032e+04 3.707127e+00 
2.951209e+04 3.648637e+00 
3.019952e+04 3.587732e+00 
3.090295e+04 3.524397e+00 
3.162278e+04 3.458616e+00 
3.235937e+04 3.390378e+00 
3.311311e+04 3.319671e+00 
3.388442e+04 3.246484e+00 
3.467369e+04 3.170808e+00 
3.548134e+04 3.092637e+00 
3.630781e+04 3.011964e+00 
3.715352e+04 2.928786e+00 
3.801894e+04 2.843102e+00 
3.890451e+04 2.754910e+00 
3.981072e+04 2.664214e+00 
4.073803e+04 2.571017e+00 
4.168694e+04 2.475326e+00 
4.265795e+04 2.377147e+00 
4.365158e+04 2.276493e+00 
4.466836e+04 2.173375e+00 
4.570882e+04 2.067807e+00 
4.677351e+04 1.959807e+00 
4.786301e+04 1.849392e+00 
4.897788e+04 1.736584e+00 
5.011872e+04 1.621405e+00 
5.128614e+04 1.503878e+00 
5.248075e+04 1.384032e+00 
5.370318e+04 1.261893e+00 
5.495409e+04 1.137492e+00 
5.623413e+04 1.010859e+00 
5.754399e+04 8.820280e-01 
5.888437e+04 7.510329e-01 
6.025596e+04 6.179094e-01 
6.165950e+04 4.826941e-01 
6.309573e+04 3.454251e-01 
6.456542e+04 2.061413e-01 
6.606934e+04 6.488244e-02 
6.760830e+04 -7.831080e-02 
6.918310e+04 -2.233971e-01 
7.079458e+04 -3.703347e-01 
7.244360e+04 -5.190812e-01 
7.413102e+04 -6.695939e-01 
7.585776e+04 -8.218298e-01 
7.762471e+04 -9.757458e-01 
7.943282e+04 -1.131299e+00 
8.128305e+04 -1.288445e+00 
8.317638e+04 -1.447142e+00 
8.511380e+04 -1.607347e+00 
8.709636e+04 -1.769016e+00 
8.912509e+04 -1.932108e+00 
9.120108e+04 -2.096580e+00 
9.332543e+04 -2.262391e+00 
9.549926e+04 -2.429500e+00 
9.772372e+04 -2.597867e+00 
1.000000e+05 -2.767451e+00 
1.023293e+05 -2.938213e+00 
1.047129e+05 -3.110115e+00 
1.071519e+05 -3.283118e+00 
1.096478e+05 -3.457187e+00 
1.122018e+05 -3.632284e+00 
1.148154e+05 -3.808374e+00 
1.174898e+05 -3.985422e+00 
1.202264e+05 -4.163395e+00 
