2.970003e+00 5.000000e+00 2.970003e+00 4.816288e+00 2.970003e+00 0.000000e+00 
2.970013e+00 5.000000e+00 2.970013e+00 4.816288e+00 2.970013e+00 0.000000e+00 
2.970023e+00 5.000000e+00 2.970023e+00 4.816288e+00 2.970023e+00 0.000000e+00 
2.970033e+00 5.000000e+00 2.970033e+00 4.816288e+00 2.970033e+00 0.000000e+00 
2.970043e+00 5.000000e+00 2.970043e+00 4.816288e+00 2.970043e+00 0.000000e+00 
2.970053e+00 5.000000e+00 2.970053e+00 4.816288e+00 2.970053e+00 0.000000e+00 
2.970063e+00 5.000000e+00 2.970063e+00 4.816288e+00 2.970063e+00 0.000000e+00 
2.970073e+00 5.000000e+00 2.970073e+00 4.816288e+00 2.970073e+00 0.000000e+00 
2.970083e+00 5.000000e+00 2.970083e+00 4.816288e+00 2.970083e+00 0.000000e+00 
2.970093e+00 5.000000e+00 2.970093e+00 4.816288e+00 2.970093e+00 0.000000e+00 
2.970103e+00 5.000000e+00 2.970103e+00 4.816288e+00 2.970103e+00 0.000000e+00 
2.970113e+00 5.000000e+00 2.970113e+00 4.816288e+00 2.970113e+00 0.000000e+00 
2.970123e+00 5.000000e+00 2.970123e+00 4.816288e+00 2.970123e+00 0.000000e+00 
2.970133e+00 5.000000e+00 2.970133e+00 4.816288e+00 2.970133e+00 0.000000e+00 
2.970143e+00 5.000000e+00 2.970143e+00 4.816288e+00 2.970143e+00 0.000000e+00 
2.970153e+00 5.000000e+00 2.970153e+00 4.816288e+00 2.970153e+00 0.000000e+00 
2.970163e+00 5.000000e+00 2.970163e+00 4.816288e+00 2.970163e+00 0.000000e+00 
2.970173e+00 5.000000e+00 2.970173e+00 4.816288e+00 2.970173e+00 0.000000e+00 
2.970183e+00 5.000000e+00 2.970183e+00 4.816288e+00 2.970183e+00 0.000000e+00 
2.970193e+00 5.000000e+00 2.970193e+00 4.816288e+00 2.970193e+00 0.000000e+00 
2.970203e+00 5.000000e+00 2.970203e+00 4.816288e+00 2.970203e+00 0.000000e+00 
2.970213e+00 5.000000e+00 2.970213e+00 4.816288e+00 2.970213e+00 0.000000e+00 
2.970223e+00 5.000000e+00 2.970223e+00 4.816288e+00 2.970223e+00 0.000000e+00 
2.970233e+00 5.000000e+00 2.970233e+00 4.816288e+00 2.970233e+00 0.000000e+00 
2.970243e+00 5.000000e+00 2.970243e+00 4.816288e+00 2.970243e+00 0.000000e+00 
2.970253e+00 5.000000e+00 2.970253e+00 4.816288e+00 2.970253e+00 0.000000e+00 
2.970263e+00 5.000000e+00 2.970263e+00 4.816288e+00 2.970263e+00 0.000000e+00 
2.970273e+00 5.000000e+00 2.970273e+00 4.816288e+00 2.970273e+00 0.000000e+00 
2.970283e+00 5.000000e+00 2.970283e+00 4.816288e+00 2.970283e+00 0.000000e+00 
2.970293e+00 5.000000e+00 2.970293e+00 4.816288e+00 2.970293e+00 0.000000e+00 
2.970303e+00 5.000000e+00 2.970303e+00 4.816288e+00 2.970303e+00 0.000000e+00 
2.970313e+00 5.000000e+00 2.970313e+00 4.816288e+00 2.970313e+00 0.000000e+00 
2.970323e+00 5.000000e+00 2.970323e+00 4.816288e+00 2.970323e+00 0.000000e+00 
2.970333e+00 5.000000e+00 2.970333e+00 4.816288e+00 2.970333e+00 0.000000e+00 
2.970343e+00 5.000000e+00 2.970343e+00 4.816288e+00 2.970343e+00 0.000000e+00 
2.970353e+00 5.000000e+00 2.970353e+00 4.816288e+00 2.970353e+00 0.000000e+00 
2.970363e+00 5.000000e+00 2.970363e+00 4.816288e+00 2.970363e+00 0.000000e+00 
2.970373e+00 5.000000e+00 2.970373e+00 4.816288e+00 2.970373e+00 0.000000e+00 
2.970383e+00 5.000000e+00 2.970383e+00 4.816288e+00 2.970383e+00 0.000000e+00 
2.970393e+00 5.000000e+00 2.970393e+00 4.816288e+00 2.970393e+00 0.000000e+00 
2.970403e+00 5.000000e+00 2.970403e+00 4.816288e+00 2.970403e+00 0.000000e+00 
2.970413e+00 5.000000e+00 2.970413e+00 4.816288e+00 2.970413e+00 0.000000e+00 
2.970423e+00 5.000000e+00 2.970423e+00 4.816288e+00 2.970423e+00 0.000000e+00 
2.970433e+00 5.000000e+00 2.970433e+00 4.816288e+00 2.970433e+00 0.000000e+00 
2.970443e+00 5.000000e+00 2.970443e+00 4.816288e+00 2.970443e+00 0.000000e+00 
2.970453e+00 5.000000e+00 2.970453e+00 4.816288e+00 2.970453e+00 0.000000e+00 
2.970463e+00 5.000000e+00 2.970463e+00 4.816288e+00 2.970463e+00 0.000000e+00 
2.970473e+00 5.000000e+00 2.970473e+00 4.816288e+00 2.970473e+00 0.000000e+00 
2.970483e+00 5.000000e+00 2.970483e+00 4.816288e+00 2.970483e+00 0.000000e+00 
2.970493e+00 5.000000e+00 2.970493e+00 4.816288e+00 2.970493e+00 0.000000e+00 
2.970503e+00 5.000000e+00 2.970503e+00 4.816288e+00 2.970503e+00 0.000000e+00 
2.970513e+00 5.000000e+00 2.970513e+00 4.816288e+00 2.970513e+00 0.000000e+00 
