0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 0.000000e+00 5.000000e+00 0.000000e+00 5.000000e+00 
1.000000e-05 1.000000e-05 1.000000e-05 5.000000e+00 1.000000e-05 5.000000e+00 1.000000e-05 5.000000e+00 
2.000000e-05 2.000000e-05 2.000000e-05 5.000000e+00 2.000000e-05 5.000000e+00 2.000000e-05 5.000000e+00 
4.000000e-05 4.000000e-05 4.000000e-05 5.000000e+00 4.000000e-05 5.000000e+00 4.000000e-05 5.000000e+00 
8.000000e-05 8.000000e-05 8.000000e-05 5.000000e+00 8.000000e-05 5.000000e+00 8.000000e-05 5.000000e+00 
1.600000e-04 1.600000e-04 1.600000e-04 5.000000e+00 1.600000e-04 5.000000e+00 1.600000e-04 5.000000e+00 
3.200000e-04 3.200000e-04 3.200000e-04 5.000000e+00 3.200000e-04 5.000000e+00 3.200000e-04 5.000000e+00 
6.400000e-04 6.400000e-04 6.400000e-04 5.000000e+00 6.400000e-04 5.000000e+00 6.400000e-04 5.000000e+00 
1.280000e-03 1.280000e-03 1.280000e-03 5.000000e+00 1.280000e-03 5.000000e+00 1.280000e-03 5.000000e+00 
2.280000e-03 2.280000e-03 2.280000e-03 5.000000e+00 2.280000e-03 5.000000e+00 2.280000e-03 5.000000e+00 
3.280000e-03 3.280000e-03 3.280000e-03 5.000000e+00 3.280000e-03 5.000000e+00 3.280000e-03 5.000000e+00 
4.280000e-03 4.280000e-03 4.280000e-03 5.000000e+00 4.280000e-03 5.000000e+00 4.280000e-03 5.000000e+00 
5.280000e-03 5.280000e-03 5.280000e-03 5.000000e+00 5.280000e-03 5.000000e+00 5.280000e-03 5.000000e+00 
6.280000e-03 6.280000e-03 6.280000e-03 5.000000e+00 6.280000e-03 5.000000e+00 6.280000e-03 5.000000e+00 
7.280000e-03 7.280000e-03 7.280000e-03 5.000000e+00 7.280000e-03 5.000000e+00 7.280000e-03 5.000000e+00 
8.280000e-03 8.280000e-03 8.280000e-03 5.000000e+00 8.280000e-03 5.000000e+00 8.280000e-03 5.000000e+00 
9.280000e-03 9.280000e-03 9.280000e-03 5.000000e+00 9.280000e-03 5.000000e+00 9.280000e-03 5.000000e+00 
1.028000e-02 1.028000e-02 1.028000e-02 5.000000e+00 1.028000e-02 5.000000e+00 1.028000e-02 5.000000e+00 
1.128000e-02 1.128000e-02 1.128000e-02 5.000000e+00 1.128000e-02 5.000000e+00 1.128000e-02 5.000000e+00 
1.228000e-02 1.228000e-02 1.228000e-02 5.000000e+00 1.228000e-02 5.000000e+00 1.228000e-02 5.000000e+00 
1.328000e-02 1.328000e-02 1.328000e-02 5.000000e+00 1.328000e-02 5.000000e+00 1.328000e-02 5.000000e+00 
1.428000e-02 1.428000e-02 1.428000e-02 5.000000e+00 1.428000e-02 5.000000e+00 1.428000e-02 5.000000e+00 
1.528000e-02 1.528000e-02 1.528000e-02 5.000000e+00 1.528000e-02 5.000000e+00 1.528000e-02 5.000000e+00 
1.628000e-02 1.628000e-02 1.628000e-02 5.000000e+00 1.628000e-02 5.000000e+00 1.628000e-02 5.000000e+00 
1.728000e-02 1.728000e-02 1.728000e-02 5.000000e+00 1.728000e-02 5.000000e+00 1.728000e-02 5.000000e+00 
1.828000e-02 1.828000e-02 1.828000e-02 5.000000e+00 1.828000e-02 5.000000e+00 1.828000e-02 5.000000e+00 
1.928000e-02 1.928000e-02 1.928000e-02 5.000000e+00 1.928000e-02 5.000000e+00 1.928000e-02 5.000000e+00 
