0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.000000e-08 0.000000e+00 3.000000e-08 0.000000e+00 
6.000000e-08 0.000000e+00 6.000000e-08 0.000000e+00 
1.200000e-07 0.000000e+00 1.200000e-07 0.000000e+00 
2.400000e-07 0.000000e+00 2.400000e-07 0.000000e+00 
4.800000e-07 0.000000e+00 4.800000e-07 0.000000e+00 
9.600000e-07 0.000000e+00 9.600000e-07 0.000000e+00 
1.920000e-06 0.000000e+00 1.920000e-06 0.000000e+00 
3.000000e-06 0.000000e+00 3.000000e-06 0.000000e+00 
3.000000e-06 1.782531e-16 3.000000e-06 5.000000e-01 
3.000000e-06 1.247772e-15 3.000000e-06 1.500000e+00 
3.000001e-06 1.194295e-14 3.000001e-06 3.500000e+00 
3.000001e-06 3.213011e-14 3.000001e-06 5.000000e+00 
3.000001e-06 3.704376e-14 3.000001e-06 5.000000e+00 
3.000001e-06 4.775150e-14 3.000001e-06 5.000000e+00 
3.000001e-06 7.444954e-14 3.000001e-06 5.000000e+00 
3.000002e-06 1.489759e-13 3.000002e-06 5.000000e+00 
3.000003e-06 3.825495e-13 3.000003e-06 5.000000e+00 
3.000004e-06 1.187780e-12 3.000004e-06 5.000000e+00 
3.000007e-06 4.150569e-12 3.000007e-06 5.000000e+00 
3.000014e-06 1.548542e-11 3.000014e-06 5.000000e+00 
3.000026e-06 5.979196e-11 3.000026e-06 5.000000e+00 
3.000052e-06 2.349501e-10 3.000052e-06 5.000000e+00 
3.000103e-06 9.314286e-10 3.000103e-06 5.000000e+00 
3.000205e-06 3.708890e-09 3.000205e-06 5.000000e+00 
3.000408e-06 1.480067e-08 3.000408e-06 5.000000e+00 
3.000815e-06 5.912245e-08 3.000815e-06 5.000000e+00 
3.001629e-06 2.362450e-07 3.001629e-06 5.000000e+00 
3.003258e-06 9.438160e-07 3.003258e-06 5.000000e+00 
3.006515e-06 3.767556e-06 3.006515e-06 5.000000e+00 
3.013028e-06 1.501200e-05 3.013028e-06 5.000000e+00 
3.026055e-06 5.959290e-05 3.026055e-06 5.000000e+00 
3.052110e-06 2.348106e-04 3.052110e-06 5.000000e+00 
3.104219e-06 9.118152e-04 3.104219e-06 5.000000e+00 
3.208437e-06 3.443222e-03 3.208437e-06 5.000000e+00 
3.416874e-06 1.235199e-02 3.416874e-06 5.000000e+00 
3.787027e-06 3.700323e-02 3.787027e-06 5.000000e+00 
4.354842e-06 8.705504e-02 4.354842e-06 5.000000e+00 
5.101247e-06 1.620415e-01 5.101247e-06 5.000000e+00 
6.046379e-06 2.602926e-01 6.046379e-06 5.000000e+00 
7.374120e-06 3.967251e-01 7.374120e-06 5.000000e+00 
9.540510e-06 6.113490e-01 9.540510e-06 5.000000e+00 
1.387329e-05 1.011239e+00 1.387329e-05 5.000000e+00 
